contract_index,field,family,disjoint_vector_tranche,authoritative_type,authoritative_default,authoritative_grid,authoritative_semantics,authoritative_read_site,authoritative_function,parent_gates_or_modes_in_source_window,score_or_gate_composition,required_npz_arrays,required_npz_arrays_basis,side_applicability,npz_data_condition,venue_applicability,timeframe_applicability,read_missing_config_behavior,missing_market_data_behavior,implementation_guard
63,SCALP_V3_SCAN_MIN_DIVERGENCE,ENTRY,01_ENTRY_SIGNALS,float,0.3,[0.3],"Read SCALP_V3_SCAN_MIN_DIVERGENCE with authoritative default 0.3 at ez_positions_quick.py:18065:_scalp_v3_scan_once:getattr; apply it only through the cited source statement using PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:18065:_scalp_v3_scan_once:getattr,_scalp_v3_scan_once,[],PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""0.3"",""source"":""READ_FALLBACK:ez_positions_quick.py:18065"",""value"":0.3}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
64,STDEV_BOUNCE_HTF_LIST,ENTRY,01_ENTRY_SIGNALS,List[str],,[],"Read STDEV_BOUNCE_HTF_LIST with authoritative default None at ez_positions_quick.py:11880:detect_stdev_bounce:getattr; apply it only through the cited source statement using PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:11880:detect_stdev_bounce:getattr,detect_stdev_bounce,"[""STDEV_BOUNCE_ENABLED""]",PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION,"[""relative_volume_15m"",""relative_volume_{tf}""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""[\""D\"""",""source"":""READ_FALLBACK:ez_positions_quick.py:11880"",""value"":""[\""D\""""}","{""behavior"":""MATCH_AUTHORITATIVE_SOURCE_FALLBACKS"",""source_fallbacks"":[{""expression"":""1.0"",""field"":""relative_volume_15m""}],""vector_requirement"":""Do not substitute zero/hash events; reproduce these fallbacks and validity predicates exactly.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
65,STDEV_BREAKOUT_HTF_LIST,ENTRY,01_ENTRY_SIGNALS,List[str],,[],"Read STDEV_BREAKOUT_HTF_LIST with authoritative default None at ez_positions_quick.py:11769:detect_stdev_breakout:getattr; apply it only through the cited source statement using PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:11769:detect_stdev_breakout:getattr,detect_stdev_breakout,"[""STDEV_BREAKOUT_ENABLED""]",PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""[\""D\"""",""source"":""READ_FALLBACK:ez_positions_quick.py:11769"",""value"":""[\""D\""""}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
66,STDEV_BREAKOUT_MAX_RETESTS,ENTRY,01_ENTRY_SIGNALS,int,3,[3],"Read STDEV_BREAKOUT_MAX_RETESTS with authoritative default 3 at ez_positions_quick.py:11774:detect_stdev_breakout:getattr; apply it only through the cited source statement using PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:11774:detect_stdev_breakout:getattr,detect_stdev_breakout,"[""STDEV_BREAKOUT_ENABLED""]",PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION,"[""relative_volume_{tf}""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""3"",""source"":""READ_FALLBACK:ez_positions_quick.py:11774"",""value"":3}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
67,STDEV_BREAKOUT_PCTB_LONG,ENTRY,01_ENTRY_SIGNALS,float,1.125,[1.125],"Read STDEV_BREAKOUT_PCTB_LONG with authoritative default 1.125 at ez_positions_quick.py:11771:detect_stdev_breakout:getattr; apply it only through the cited source statement using PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:11771:detect_stdev_breakout:getattr,detect_stdev_breakout,"[""STDEV_BREAKOUT_ENABLED""]",PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,LONG,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""1.125"",""source"":""READ_FALLBACK:ez_positions_quick.py:11771"",""value"":1.125}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
68,STDEV_BREAKOUT_PCTB_SHORT,ENTRY,01_ENTRY_SIGNALS,float,-0.125,[-0.125],"Read STDEV_BREAKOUT_PCTB_SHORT with authoritative default -0.125 at ez_positions_quick.py:11772:detect_stdev_breakout:getattr; apply it only through the cited source statement using PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:11772:detect_stdev_breakout:getattr,detect_stdev_breakout,"[""STDEV_BREAKOUT_ENABLED""]",PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,SHORT,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""-0.125"",""source"":""READ_FALLBACK:ez_positions_quick.py:11772"",""value"":-0.125}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
69,STDEV_BREAKOUT_RETEST_PCTB_MAX,ENTRY,01_ENTRY_SIGNALS,float,1.05,[1.05],"Read STDEV_BREAKOUT_RETEST_PCTB_MAX with authoritative default 1.05 at ez_positions_quick.py:11777:detect_stdev_breakout:getattr; apply it only through the cited source statement using PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:11777:detect_stdev_breakout:getattr,detect_stdev_breakout,"[""STDEV_BREAKOUT_ENABLED""]",PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION,"[""relative_volume_1h"",""relative_volume_{tf}""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""1.05"",""source"":""READ_FALLBACK:ez_positions_quick.py:11777"",""value"":1.05}","{""behavior"":""MATCH_AUTHORITATIVE_SOURCE_FALLBACKS"",""source_fallbacks"":[{""expression"":""0"",""field"":""relative_volume_1h""}],""vector_requirement"":""Do not substitute zero/hash events; reproduce these fallbacks and validity predicates exactly.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
70,STDEV_BREAKOUT_RETEST_TF_LIST,ENTRY,01_ENTRY_SIGNALS,List[str],,[],"Read STDEV_BREAKOUT_RETEST_TF_LIST with authoritative default None at ez_positions_quick.py:11770:detect_stdev_breakout:getattr; apply it only through the cited source statement using PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:11770:detect_stdev_breakout:getattr,detect_stdev_breakout,"[""STDEV_BREAKOUT_ENABLED""]",PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""[\""1h\"""",""source"":""READ_FALLBACK:ez_positions_quick.py:11770"",""value"":""[\""1h\""""}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
71,STDEV_BREAKOUT_SCORE,ENTRY,01_ENTRY_SIGNALS,int,25,[25],"Read STDEV_BREAKOUT_SCORE with authoritative default 25 at ez_positions_quick.py:11799:detect_stdev_breakout:getattr; apply it only through the cited source statement using PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:11799:detect_stdev_breakout:getattr,detect_stdev_breakout,[],PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION,"[""relative_volume_15m"",""relative_volume_1h""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""25"",""source"":""READ_FALLBACK:ez_positions_quick.py:11799"",""value"":25}","{""behavior"":""MATCH_AUTHORITATIVE_SOURCE_FALLBACKS"",""source_fallbacks"":[{""expression"":""0"",""field"":""relative_volume_1h""},{""expression"":""0"",""field"":""relative_volume_15m""}],""vector_requirement"":""Do not substitute zero/hash events; reproduce these fallbacks and validity predicates exactly.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
72,STDEV_MACRO_ENTRY_BOOST_ENABLED,STDEV_MACRO_ENTRY,01_ENTRY_SIGNALS,bool,False,"[false,true]","Read STDEV_MACRO_ENTRY_BOOST_ENABLED with authoritative default False at v12_wide_engine.py:5518:simulate_one_symbol:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",v12_wide_engine.py:5518:simulate_one_symbol:getattr,simulate_one_symbol,"[""STDEV_MACRO_AUGMENT_VETO_ENABLED"",""STDEV_MACRO_HEDGE_BOOST_ENABLED""]",BOOLEAN_GATE_OR_SIGNAL,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""False"",""source"":""READ_FALLBACK:v12_wide_engine.py:5518"",""value"":false}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
73,STOCH_CROSS_ENTRY_ENABLED,ENTRY,01_ENTRY_SIGNALS,bool,False,"[false,true]","Read STOCH_CROSS_ENTRY_ENABLED with authoritative default False at ez_positions_quick.py:2108:rate:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:2108:rate:getattr,rate,"[""WT_DC_ENTRY_ENABLED"",""WT_DC_LONG_ENABLED"",""WT_DC_SHORT_ENABLED""]",BOOLEAN_GATE_OR_SIGNAL,"[""dc_basis_15m"",""dc_basis_1h"",""dc_basis_4h"",""dc_basis_D"",""sma_200_1h""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""True"",""source"":""READ_FALLBACK:ez_positions_quick.py:2108"",""value"":true}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
74,TRADIER_REOPEN_WAIT_S,TRADIER_REOPEN_WAIT,01_ENTRY_SIGNALS,float,0.0,[0.0],"Read TRADIER_REOPEN_WAIT_S with authoritative default 0.0 at tradier_manage.py:6571:process_position:_cfg_auto; apply it only through the cited source statement using MULTIPLICATIVE_OR_SIZING_PARAMETER. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",tradier_manage.py:6571:process_position:_cfg_auto,process_position,[],MULTIPLICATIVE_OR_SIZING_PARAMETER,"[""atr_1h"",""atr_D"",""bb_pct_b_1h"",""bb_pct_b_{_bb_tf_gate}"",""bb_pct_b_{_bb_tf}"",""bb_pct_b_{_brs_tf}"",""close"",""close_5m_prev"",""close_D"",""close_{_bd_tf}"",""close_{_bt_tf}"",""dc_basis_{_sfr_basis_tf}"",""dc_high_5m"",""dc_high_D"",""dc_high_{_bd_tf}"",""dc_high_{_bt_tf}"",""dc_high_{_xb_tf}"",""dc_low_5m"",""dc_low_D"",""dc_low_{_bd_tf}"",""dc_low_{_bt_tf}"",""dc_low_{_xb_tf}"",""high_{_bt_tf}"",""high_{_sfr_tf}"",""high_{_sfr_tf}_prev"",""low_{_bt_tf}"",""low_{_sfr_tf}"",""low_{_sfr_tf}_prev"",""lrL_slope_{_lb_tf}"",""lrL_slope_{_pb_tf}"",""lr_pct_b_D"",""mfi_15m"",""mfi_D"",""open_D"",""relative_volume_1h"",""rsi_15m"",""rsi_1h"",""rsi_{_brs_tf}"",""stoch_k_15m"",""stoch_k_1h"",""stoch_k_3m"",""stoch_k_3m_prev"",""stoch_k_{_brs_tf}"",""volume_D"",""volume_D_50_sma"",""wt1_15m"",""wt1_1h"",""wt1_4h"",""wt1_D"",""wt1_{_htf_tf}"",""wt2_15m"",""wt2_1h"",""wt2_4h"",""wt2_D"",""wt2_{_htf_tf}""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,TRADIER,"[""ANY_AVAILABLE""]","{""expression"":""0.0"",""source"":""READ_FALLBACK:tradier_manage.py:6571"",""value"":0.0}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
75,VEC_FIRST_OPEN_THROTTLE_BARS,VEC_FIRST_OPEN,01_ENTRY_SIGNALS,int,0,[0],"Read VEC_FIRST_OPEN_THROTTLE_BARS with authoritative default 0 at vec_paths/first_open_throttle.py:62:is_first_open_throttled:getattr; apply it only through the cited source statement using PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",vec_paths/first_open_throttle.py:62:is_first_open_throttled:getattr,is_first_open_throttled,[],PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""0"",""source"":""READ_FALLBACK:first_open_throttle.py:62"",""value"":0}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
76,VEC_MTF_ARMED_GATE_HEDGE_OPEN,VEC_MTF_ARMED,01_ENTRY_SIGNALS,bool,False,"[false,true]","Read VEC_MTF_ARMED_GATE_HEDGE_OPEN with authoritative default False at v12_wide_engine.py:6667:simulate_one_symbol:getattr; apply it only through the cited source statement using PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",v12_wide_engine.py:6667:simulate_one_symbol:getattr,simulate_one_symbol,[],PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""False"",""source"":""READ_FALLBACK:v12_wide_engine.py:6667"",""value"":false}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
77,WATCHDOG_DC_FORCE_OPEN_ENABLED,ENTRY,01_ENTRY_SIGNALS,bool,True,"[false,true]","Read WATCHDOG_DC_FORCE_OPEN_ENABLED with authoritative default True at ez_manage.py:30505:momentum_sma_watchdog_loop:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:30505:momentum_sma_watchdog_loop:getattr,momentum_sma_watchdog_loop,[],THRESHOLD_PREDICATE,"[""dc_high_crossover_{_tf}"",""dc_high_{_tf}"",""dc_low_crossunder_{_tf}"",""dc_low_{_tf}""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""True"",""source"":""READ_FALLBACK:ez_manage.py:30505"",""value"":true}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
78,WT_15M_BOUNCE_OPEN_ENABLED,ENTRY,01_ENTRY_SIGNALS,bool,False,"[false,true]","Read WT_15M_BOUNCE_OPEN_ENABLED with authoritative default False at v12_wide_engine.py:2156:simulate_one_symbol:attribute; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",v12_wide_engine.py:2156:simulate_one_symbol:attribute,simulate_one_symbol,[],THRESHOLD_PREDICATE,"[""bb_pct_b_15m""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""15m""]","{""source"":""AUTHORITATIVE_DEFINITION"",""value"":false}","{""behavior"":""MATCH_AUTHORITATIVE_SOURCE_FALLBACKS"",""source_fallbacks"":[{""expression"":""np.full(n, 0.5, dtype=np.float32"",""field"":""bb_pct_b_15m""}],""vector_requirement"":""Do not substitute zero/hash events; reproduce these fallbacks and validity predicates exactly.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
79,WT_15M_CROSS_ENTRY_ENABLED,ENTRY,01_ENTRY_SIGNALS,bool,False,"[false,true]","Read WT_15M_CROSS_ENTRY_ENABLED with authoritative default False at v12_wide_engine.py:6732:simulate_one_symbol:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",v12_wide_engine.py:6732:simulate_one_symbol:getattr,simulate_one_symbol,"[""MTF_GR_FILTER_ENABLED"",""WT_15M_CROSS_ENTRY_MODE""]",THRESHOLD_PREDICATE,"[""wt1_15m"",""wt2_15m""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""15m""]","{""expression"":""False"",""source"":""READ_FALLBACK:v12_wide_engine.py:6732"",""value"":false}","{""behavior"":""MATCH_AUTHORITATIVE_SOURCE_FALLBACKS"",""source_fallbacks"":[{""expression"":""np.zeros(n"",""field"":""wt1_15m""},{""expression"":""np.zeros(n"",""field"":""wt2_15m""}],""vector_requirement"":""Do not substitute zero/hash events; reproduce these fallbacks and validity predicates exactly.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
80,WT_3M_FORCE_OPEN_GR_MIN_IND_PER_TF,ENTRY,01_ENTRY_SIGNALS,int,5,[5],"Read WT_3M_FORCE_OPEN_GR_MIN_IND_PER_TF with authoritative default 5 at ez_manage.py:37807:_process_single_override_check:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:37807:_process_single_override_check:getattr,_process_single_override_check,"[""WT_3M_FORCE_OPEN_GR_GATE_ENABLED""]",THRESHOLD_PREDICATE,"[""dc_high_3m"",""dc_low_3m""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""3m""]","{""expression"":""5"",""source"":""READ_FALLBACK:ez_manage.py:37807"",""value"":5}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
81,WT_3M_FORCE_OPEN_GR_VOTE_MIN,ENTRY,01_ENTRY_SIGNALS,int,20,[20],"Read WT_3M_FORCE_OPEN_GR_VOTE_MIN with authoritative default 20 at ez_manage.py:37805:_process_single_override_check:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:37805:_process_single_override_check:getattr,_process_single_override_check,"[""WT_3M_FORCE_OPEN_GR_GATE_ENABLED""]",THRESHOLD_PREDICATE,"[""dc_high_3m"",""dc_low_3m""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""3m""]","{""expression"":""15"",""source"":""READ_FALLBACK:ez_manage.py:37805"",""value"":15}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
82,WT_3M_FORCE_OPEN_REQUIRE_HH_CROSS,ENTRY,01_ENTRY_SIGNALS,bool,True,"[false,true]","Read WT_3M_FORCE_OPEN_REQUIRE_HH_CROSS with authoritative default True at ez_manage.py:37861:_wt_ok_for_tf:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:37861:_wt_ok_for_tf:getattr,_wt_ok_for_tf,[],THRESHOLD_PREDICATE,"[""atr_D"",""dc_basis_D"",""dc_high_3m"",""dc_low_3m"",""sma_200_15m"",""wt1_15m"",""wt1_1h"",""wt1_3m"",""wt1_D"",""wt1_W"",""wt1_{_a}"",""wt2_15m"",""wt2_1h"",""wt2_3m"",""wt2_D"",""wt2_W"",""wt2_{_a}""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""3m""]","{""expression"":""True"",""source"":""READ_FALLBACK:ez_manage.py:37861"",""value"":true}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
